Subnet,Network ID,Netmask,Broadcast,Range IP
A1,10.76.2.205,255.255.255.252,10.76.2.208,10.76.2.206 - 10.76.2.207
A2,10.76.2.209,255.255.255.252,10.76.2.212,10.76.2.210 - 10.76.2.211
A3,10.76.2.213,255.255.255.252,10.76.2.216,10.76.2.214 - 10.76.2.215
A4,10.76.2.0,255.255.255.128,10.76.2.127,10.76.2.1 - 10.76.2.126
A5,10.76.2.217,255.255.255.252,10.76.2.220,10.76.2.218 - 10.76.2.219
A6,10.76.1.0,255.255.255.0,10.76.1.255,10.76.1.1 - 10.76.1.254
A7,10.76.2.221,255.255.255.252,10.76.2.224,10.76.2.222 - 10.76.2.223
A8,10.76.2.225,255.255.255.252,10.76.2.228,10.76.2.226 - 10.76.2.227
A9,10.76.2.229,255.255.255.252,10.76.2.232,10.76.2.230 - 10.76.2.231
A10,10.76.2.128,255.255.255.192,10.76.2.191,10.76.2.129 - 10.76.2.190
A11,10.76.2.192,255.255.255.248,10.76.2.199,10.76.2.193 - 10.76.2.198
A12,10.76.2.233,255.255.255.252,10.76.2.236,10.76.2.234 - 10.76.2.235
A13,10.76.2.200,255.255.255.248,10.76.2.204,10.76.2.201 - 10.76.2.203
